player,year,team,runs,avg,sr,balls_faced,wickets,econ,conceded,balls_bowled,bat_matches,bowl_matches,role
SE Marsh,2008,Kings XI Punjab,438,43.8,146.5,299,0,0.0,0,0,10,0,bat
SR Watson,2008,Rajasthan Royals,430,28.7,149.8,287,14,6.9,207,180,15,15,ar
MS Dhoni,2008,Chennai Super Kings,414,29.6,129.8,319,0,0.0,0,0,14,0,bat
RG Sharma,2008,Deccan Chargers,398,36.2,149.6,266,1,5.76,24,25,11,1,bat
R Dravid,2008,Royal Challengers Bangalore,345,28.8,128.3,269,0,0.0,0,0,12,0,bat
YK Pathan,2008,Rajasthan Royals,342,34.2,185.9,184,7,8.09,205,152,10,13,ar
SK Raina,2008,Chennai Super Kings,339,24.2,137.2,247,2,9.0,30,20,14,2,bat
DJ Hussey,2008,Kolkata Knight Riders,306,25.5,121.4,252,3,9.8,129,79,12,5,ar
S Dhawan,2008,Delhi Daredevils,304,25.3,122.6,248,0,0.0,0,0,12,0,bat
GC Smith,2008,Rajasthan Royals,293,32.6,133.8,219,0,0.0,0,0,9,0,bat
RV Uthappa,2008,Mumbai Indians,281,21.6,110.6,254,0,0.0,0,0,13,0,bat
Yuvraj Singh,2008,Kings XI Punjab,272,22.7,156.3,174,3,8.68,81,56,12,6,ar
G Gambhir,2008,Delhi Daredevils,265,29.4,136.6,194,0,0.0,0,0,9,0,bat
Y Venugopal Rao,2008,Deccan Chargers,260,28.9,145.3,179,2,8.68,110,76,9,7,ar
SC Ganguly,2008,Kolkata Knight Riders,245,24.5,111.4,220,7,6.3,127,121,10,7,ar
JA Morkel,2008,Chennai Super Kings,241,24.1,143.5,168,19,6.95,299,258,10,13,ar
KC Sangakkara,2008,Kings XI Punjab,239,34.1,151.3,158,0,0.0,0,0,7,0,bat
ST Jayasuriya,2008,Mumbai Indians,235,26.1,175.4,134,5,7.34,148,121,9,8,ar
AC Gilchrist,2008,Deccan Chargers,219,36.5,163.4,134,0,0.0,0,0,6,0,bat
AM Nayar,2008,Mumbai Indians,206,20.6,145.1,142,1,9.35,67,43,10,5,ar
MV Boucher,2008,Royal Challengers Bangalore,206,20.6,123.4,167,0,0.0,0,0,10,0,bat
V Sehwag,2008,Delhi Daredevils,199,33.2,209.5,95,3,11.1,111,60,6,6,ar
S Badrinath,2008,Chennai Super Kings,173,15.7,150.4,115,0,0.0,0,0,11,0,bat
LR Shukla,2008,Kolkata Knight Riders,163,13.6,128.3,127,6,8.69,113,78,12,9,ar
DPMD Jayawardene,2008,Kings XI Punjab,161,13.4,128.8,125,0,0.0,0,0,12,0,bat
DJ Bravo,2008,Mumbai Indians,160,22.9,130.1,123,10,7.64,214,168,7,9,ar
M Kaif,2008,Rajasthan Royals,156,14.2,108.3,144,0,0.0,0,0,11,0,bat
A Symonds,2008,Deccan Chargers,149,49.7,144.7,103,0,12.82,94,44,3,3,ar
MEK Hussey,2008,Chennai Super Kings,148,74.0,185.0,80,0,0.0,0,0,2,0,bat
SM Pollock,2008,Mumbai Indians,147,18.4,126.7,116,4,7.31,95,78,8,11,ar
SA Asnodkar,2008,Rajasthan Royals,146,18.2,114.1,128,0,0.0,0,0,8,0,bat
KD Karthik,2008,Delhi Daredevils,145,18.1,134.3,108,0,0.0,0,0,8,0,bat
PA Patel,2008,Chennai Super Kings,145,16.1,106.6,136,0,0.0,0,0,9,0,bat
ML Hayden,2008,Chennai Super Kings,140,46.7,170.7,82,0,0.0,0,0,3,0,bat
RA Jadeja,2008,Rajasthan Royals,135,15.0,125.0,108,1,9.69,21,13,9,2,ar
WP Saha,2008,Kolkata Knight Riders,132,14.7,148.3,89,0,0.0,0,0,9,0,bat
MF Maharoof,2008,Delhi Daredevils,125,15.6,158.2,79,18,6.61,228,207,8,10,ar
IK Pathan,2008,Kings XI Punjab,125,13.9,106.8,117,13,6.36,179,169,9,13,ar
LA Pomersbach,2008,Kings XI Punjab,125,25.0,148.8,84,0,0.0,0,0,5,0,bat
V Kohli,2008,Royal Challengers Bangalore,123,12.3,120.6,102,2,6.98,57,49,10,4,ar
JH Kallis,2008,Royal Challengers Bangalore,119,14.9,105.3,113,4,8.29,264,191,8,11,ar
SR Tendulkar,2008,Mumbai Indians,119,19.8,104.4,114,0,0.0,0,0,6,0,bat
BB McCullum,2008,Kolkata Knight Riders,118,118.0,210.7,56,0,0.0,0,0,1,0,bat
CL White,2008,Royal Challengers Bangalore,109,15.6,116.0,94,0,18.86,22,7,7,1,bat
SB Styris,2008,Deccan Chargers,108,13.5,93.1,116,4,6.98,157,135,8,7,ar
P Kumar,2008,Royal Challengers Bangalore,106,9.6,111.6,95,10,8.52,220,155,11,12,ar
Salman Butt,2008,Kolkata Knight Riders,102,25.5,127.5,80,0,0.0,0,0,4,0,bat
TM Dilshan,2008,Delhi Daredevils,100,14.3,131.6,76,1,3.0,3,6,7,1,bat
JR Hopes,2008,Kings XI Punjab,99,24.8,173.7,57,6,9.75,268,165,4,11,ar
DB Ravi Teja,2008,Deccan Chargers,99,16.5,125.3,79,1,9.5,19,12,6,1,bat
MK Tiwary,2008,Delhi Daredevils,95,15.8,120.3,79,0,0.0,0,0,6,0,bat
SP Fleming,2008,Chennai Super Kings,92,18.4,126.0,73,0,0.0,0,0,5,0,bat
Misbah-ul-Haq,2008,Royal Challengers Bangalore,91,15.2,135.8,67,0,0.0,0,0,6,0,bat
PP Chawla,2008,Kings XI Punjab,90,12.9,147.5,61,19,7.87,375,286,7,15,ar
VVS Laxman,2008,Deccan Chargers,87,17.4,126.1,69,0,0.0,0,0,5,0,bat
HH Gibbs,2008,Deccan Chargers,81,13.5,120.9,67,0,0.0,0,0,6,0,bat
Kamran Akmal,2008,Rajasthan Royals,78,26.0,205.3,38,0,0.0,0,0,3,0,bat
